Fecha,Estacion,Caudal
2016-07-29,BajadaDelAgrio,43.5
2016-07-29,PasodeIndios,167.69
2016-07-30,Andacollo,49.09
2016-07-30,BajadaDelAgrio,43.5
2016-07-30,PasodeIndios,174.12
2016-07-31,Andacollo,50.81
2016-07-31,BajadaDelAgrio,43.5
2016-07-31,PasodeIndios,178.95
2016-08-01,Andacollo,46.79
2016-08-01,BajadaDelAgrio,43.5
2016-08-01,PasodeIndios,187.5
2016-08-02,Andacollo,44.22
2016-08-02,BajadaDelAgrio,43.5
2016-08-02,PasodeIndios,185.17
2016-08-03,Andacollo,41.89
2016-08-03,BajadaDelAgrio,43.5
2016-08-03,PasodeIndios,177.09
2016-08-04,Andacollo,39.13
2016-08-04,BajadaDelAgrio,43.5
2016-08-04,PasodeIndios,171.56
2016-08-05,Andacollo,37.3
2016-08-05,BajadaDelAgrio,42.83
2016-08-05,PasodeIndios,166.85
2016-08-06,Andacollo,35.08
2016-08-06,BajadaDelAgrio,41.9
2016-08-06,PasodeIndios,164.31
2016-08-07,Andacollo,33.1
2016-08-07,BajadaDelAgrio,41.9
2016-08-07,PasodeIndios,154.36
2016-08-08,Andacollo,31.91
2016-08-08,BajadaDelAgrio,41.9
2016-08-08,PasodeIndios,150.18
2016-08-09,Andacollo,32.88
2016-08-09,BajadaDelAgrio,41.32
2016-08-09,PasodeIndios,143.71
2016-08-10,Andacollo,33.07
2016-08-10,BajadaDelAgrio,43.14
2016-08-10,PasodeIndios,140.12
2016-08-11,Andacollo,32.81
2016-08-11,BajadaDelAgrio,43.68
2016-08-11,PasodeIndios,133.62
2016-08-12,Andacollo,33.39
2016-08-12,BajadaDelAgrio,49.24
2016-08-12,PasodeIndios,127.15
2016-08-13,Andacollo,33.85
2016-08-13,BajadaDelAgrio,51.38
2016-08-13,PasodeIndios,122.9
2016-08-14,Andacollo,36.64
2016-08-14,BajadaDelAgrio,53.2
2016-08-14,PasodeIndios,160.24
2016-08-15,Andacollo,44.02
2016-08-15,BajadaDelAgrio,66.64
2016-08-15,PasodeIndios,180.09
2016-08-16,Andacollo,64.56
2016-08-16,BajadaDelAgrio,108.71
2016-08-16,PasodeIndios,211.43
2016-08-17,Andacollo,92.56
2016-08-17,BajadaDelAgrio,143.96
2016-08-17,PasodeIndios,371.59
2016-08-18,Andacollo,87.03
2016-08-18,BajadaDelAgrio,139.64
2016-08-18,PasodeIndios,355.34
2016-08-19,Andacollo,65.39
2016-08-19,BajadaDelAgrio,138.8
2016-08-19,PasodeIndios,313.91
2016-08-20,Andacollo,58.79
2016-08-20,BajadaDelAgrio,131.72
2016-08-20,PasodeIndios,289.4
2016-08-21,Andacollo,52.7
2016-08-21,BajadaDelAgrio,110.22
2016-08-21,PasodeIndios,261.5
2016-08-22,Andacollo,48.48
2016-08-22,BajadaDelAgrio,97.67
2016-08-22,PasodeIndios,240.16
2016-08-23,Andacollo,50.73
2016-08-23,BajadaDelAgrio,87.3
2016-08-23,PasodeIndios,241.25
2016-08-24,Andacollo,54.19
2016-08-24,BajadaDelAgrio,77.46
2016-08-24,PasodeIndios,245.73
2016-08-25,Andacollo,57.15
2016-08-25,BajadaDelAgrio,64.24
2016-08-25,PasodeIndios,234.6
2016-08-26,Andacollo,57.42
2016-08-26,BajadaDelAgrio,59.88
2016-08-26,PasodeIndios,238.97
2016-08-27,Andacollo,55.85
2016-08-27,BajadaDelAgrio,58.85
2016-08-27,PasodeIndios,235.43
2016-08-28,Andacollo,54.58
2016-08-28,BajadaDelAgrio,57.87
2016-08-28,PasodeIndios,226.15
2016-08-29,Andacollo,50.54
2016-08-29,BajadaDelAgrio,56.49
2016-08-29,PasodeIndios,211.2
2016-08-30,Andacollo,48.27
2016-08-30,BajadaDelAgrio,56.32
2016-08-30,PasodeIndios,204.21
2016-08-31,Andacollo,48.12
2016-08-31,BajadaDelAgrio,56.32
2016-08-31,PasodeIndios,198.39
2016-09-01,Andacollo,47.94
2016-09-01,BajadaDelAgrio,56.32
2016-09-01,PasodeIndios,203.71
2016-09-02,Andacollo,43.63
2016-09-02,BajadaDelAgrio,56.41
2016-09-02,PasodeIndios,193.1
2016-09-03,Andacollo,41.29
2016-09-03,BajadaDelAgrio,59.17
2016-09-03,PasodeIndios,183.78
2016-09-04,Andacollo,40.76
2016-09-04,BajadaDelAgrio,59.52
2016-09-04,PasodeIndios,175.08
2016-09-05,Andacollo,39.2
2016-09-05,BajadaDelAgrio,59.52
2016-09-05,PasodeIndios,166.62
2016-09-06,Andacollo,38.24
2016-09-06,BajadaDelAgrio,59.52
2016-09-06,PasodeIndios,162.4
2016-09-07,Andacollo,37.13
2016-09-07,BajadaDelAgrio,59.52
2016-09-07,PasodeIndios,160.19
2016-09-08,Andacollo,37.83
2016-09-08,BajadaDelAgrio,59.43
2016-09-08,PasodeIndios,159.84
2016-09-09,Andacollo,38.65
2016-09-09,BajadaDelAgrio,56.67
2016-09-09,PasodeIndios,160.61
2016-09-10,Andacollo,40.43
